iter	Passed	Remaining
0	31	31595
1	64	32406
2	102	34013
3	141	35152
4	156	31161
5	193	32011
6	232	32941
7	239	29659
8	260	28639
9	295	29268
10	331	29807
11	368	30342
12	406	30827
13	446	31423
14	481	31641
15	489	30098
16	525	30405
17	564	30783
18	586	30271
19	624	30577
20	660	30774
21	667	29658
22	702	29844
23	740	30129
24	802	31283
25	844	31627
26	881	31756
27	921	31989
28	962	32212
29	1000	32358
30	1039	32489
31	1053	31857
32	1089	31915
33	1127	32021
34	1166	32156
35	1206	32319
36	1246	32436
37	1284	32511
38	1320	32536
39	1356	32554
40	1393	32596
41	1433	32700
42	1474	32807
43	1510	32816
44	1549	32882
45	1587	32930
46	1624	32939
47	1661	32944
48	1699	32974
49	1736	32994
50	1773	33000
51	1809	32996
52	1846	32999
53	1884	33021
54	1923	33049
55	1962	33089
56	2019	33402
57	2059	33456
58	2096	33442
59	2136	33467
60	2177	33512
61	2216	33535
62	2253	33516
63	2289	33483
64	2329	33513
65	2366	33490
66	2404	33485
67	2443	33489
68	2480	33462
69	2517	33450
70	2556	33447
71	2632	33933
72	2683	34080
73	2723	34081
74	2759	34034
75	2796	34000
76	2834	33975
77	2884	34093
78	2928	34135
79	2966	34117
80	3004	34087
81	3043	34072
82	3081	34047
83	3118	34005
84	3156	33979
85	3195	33956
86	3235	33954
87	3273	33928
88	3313	33914
89	3352	33895
90	3391	33873
91	3429	33848
92	3468	33829
93	3508	33817
94	3547	33795
95	3585	33761
96	3625	33754
97	3663	33717
98	3701	33689
99	3741	33671
100	3777	33626
101	3815	33592
102	3854	33563
103	3890	33515
104	3926	33465
105	3964	33435
106	4052	33821
107	4112	33965
108	4163	34033
109	4203	34007
110	4245	34002
111	4285	33981
112	4326	33964
113	4362	33907
114	4400	33862
115	4438	33821
116	4475	33779
117	4515	33753
118	4552	33707
119	4590	33661
120	4630	33638
121	4672	33623
122	4710	33584
123	4748	33544
124	4785	33501
125	4827	33485
126	4868	33465
127	4911	33459
128	4974	33590
129	5026	33641
130	5067	33613
