iter	Passed	Remaining
0	42	42454
1	81	40635
2	119	39868
3	160	40035
4	195	38917
5	262	43462
6	309	43912
7	351	43600
8	400	44131
9	445	44104
10	488	43895
11	502	41409
12	541	41079
13	578	40715
14	633	41577
15	684	42108
16	710	41063
17	748	40817
18	783	40478
19	824	40388
20	867	40434
21	905	40237
22	943	40096
23	981	39919
24	1022	39890
25	1066	39964
26	1110	40032
27	1148	39879
28	1219	40837
29	1284	41521
30	1347	42105
31	1411	42683
32	1482	43441
33	1541	43804
34	1580	43581
35	1624	43505
36	1682	43799
37	1725	43686
38	1772	43684
39	1812	43507
40	1858	43465
41	1917	43745
42	1993	44372
43	2056	44683
44	2106	44704
45	2170	45014
46	2226	45154
47	2286	45340
48	2349	45608
49	2425	46077
50	2478	46112
51	2527	46072
52	2577	46047
53	2624	45970
54	2668	45844
55	2706	45628
56	2748	45468
57	2791	45332
58	2853	45518
59	3005	47078
60	3067	47214
61	3121	47221
62	3189	47439
63	3249	47524
64	3299	47462
65	3351	47430
66	3398	47328
67	3444	47205
68	3488	47074
69	3529	46891
70	3568	46692
71	3609	46521
72	3651	46365
73	3690	46179
74	3730	46005
75	3771	45852
76	3811	45688
77	3852	45538
78	3892	45377
79	3930	45195
80	3969	45037
81	4015	44952
82	4073	45008
83	4116	44894
84	4163	44817
85	4207	44719
86	4255	44655
87	4301	44577
88	4347	44499
89	4394	44435
90	4447	44425
91	4514	44552
92	4674	45586
93	4817	46437
94	4880	46496
95	4918	46313
96	4972	46289
97	5025	46258
98	5077	46207
99	5124	46121
100	5170	46023
101	5212	45890
102	5255	45771
103	5294	45617
104	5335	45476
105	5373	45321
106	5413	45181
107	5453	45040
108	5495	44923
109	5540	44827
110	5581	44699
111	5626	44612
112	5677	44563
113	5730	44537
114	5780	44485
115	5826	44399
116	5871	44309
117	5917	44233
118	5963	44152
119	6012	44088
120	6060	44028
121	6106	43945
122	6173	44018
123	6223	43962
124	6284	43988
125	6334	43936
126	6379	43850
127	6426	43778
128	6470	43685
129	6514	43594
130	6554	43481
131	6593	43358
132	6633	43243
133	6678	43161
134	6724	43086
135	6769	43003
136	6811	42907
137	6853	42811
138	6920	42869
139	6980	42878
140	7026	42806
141	7068	42707
142	7112	42623
143	7186	42720
144	7234	42656
145	7281	42592
146	7320	42481
147	7363	42387
148	7402	42277
149	7447	42201
150	7492	42126
151	7537	42053
152	7579	41958
153	7619	41860
154	7667	41798
155	7705	41689
156	7745	41587
157	7787	41500
158	7827	41400
159	7868	41307
160	7909	41220
161	7949	41123
162	7993	41047
163	8031	40940
164	8066	40821
165	8107	40732
166	8147	40638
167	8185	40535
168	8231	40474
169	8278	40418
170	8320	40336
171	8359	40243
172	8399	40153
