iter	Passed	Remaining
0	34	34414
1	75	37719
2	118	39257
3	149	37331
4	188	37416
5	230	38151
6	270	38396
7	308	38198
8	349	38474
9	390	38695
10	430	38669
11	469	38626
12	511	38863
13	573	40399
14	583	38340
15	656	40379
16	714	41340
17	759	41448
18	832	43008
19	881	43171
20	926	43208
21	970	43145
22	1011	42958
23	1048	42637
24	1087	42419
25	1140	42735
26	1184	42686
27	1238	42984
28	1285	43051
29	1343	43425
30	1386	43338
31	1431	43293
32	1476	43269
33	1521	43232
34	1578	43512
35	1629	43636
36	1682	43782
37	1732	43848
38	1779	43855
39	1826	43836
40	1882	44020
41	1940	44254
42	1988	44248
43	2033	44185
44	2077	44096
45	2121	44006
46	2165	43904
47	2210	43846
48	2259	43844
49	2310	43904
50	2367	44049
51	2413	44004
52	2460	43972
53	2503	43854
54	2547	43775
55	2593	43726
56	2638	43648
57	2694	43769
58	2738	43672
59	2775	43487
60	2814	43330
61	2853	43171
62	2890	42990
63	2928	42823
64	2966	42673
65	3006	42551
66	3046	42429
67	3084	42279
68	3123	42141
69	3162	42018
70	3200	41878
71	3240	41763
72	3277	41620
73	3315	41492
74	3354	41370
75	3394	41266
76	3433	41158
77	3472	41049
78	3513	40958
79	3553	40866
80	3592	40763
81	3631	40652
82	3671	40558
83	3707	40432
84	3745	40318
85	3785	40227
86	3820	40090
87	3854	39950
88	3894	39867
89	3934	39784
90	3982	39783
91	4033	39806
92	4075	39744
93	4112	39637
94	4148	39518
95	4188	39438
96	4226	39342
97	4265	39256
98	4301	39147
99	4339	39053
100	4404	39201
101	4462	39284
102	4503	39218
103	4546	39166
104	4585	39086
105	4624	39006
106	4664	38932
107	4704	38854
108	4745	38793
109	4810	38920
110	4853	38869
111	4903	38876
112	4943	38806
