iter	Passed	Remaining
0	22	22955
1	72	35988
2	116	38833
3	164	40878
4	210	41951
5	257	42629
6	302	42953
7	350	43434
8	397	43729
9	444	43992
10	487	43804
11	526	43333
12	568	43150
13	578	40776
14	621	40785
15	664	40838
16	705	40809
17	747	40783
18	800	41349
19	849	41614
20	891	41546
21	938	41720
22	999	42440
23	1018	41427
24	1085	42349
25	1168	43771
26	1215	43801
27	1269	44075
28	1321	44248
29	1373	44422
30	1420	44396
31	1464	44313
32	1515	44411
33	1560	44341
34	1607	44311
35	1656	44346
36	1706	44420
37	1746	44224
38	1790	44123
39	1831	43963
40	1868	43709
41	1906	43488
42	1946	43316
43	1996	43370
44	2038	43251
45	2086	43267
46	2124	43083
47	2167	42982
48	2207	42839
49	2248	42713
50	2296	42739
51	2343	42731
52	2388	42682
53	2438	42724
54	2494	42863
55	2548	42955
56	2603	43075
57	2653	43100
58	2690	42914
59	2730	42772
60	2771	42669
61	2816	42607
62	2864	42597
63	2917	42664
64	2959	42567
65	3001	42469
66	3044	42394
67	3082	42252
68	3126	42189
69	3171	42131
70	3222	42159
71	3276	42235
72	3322	42188
73	3365	42109
74	3407	42029
75	3455	42007
76	3503	41996
77	3558	42060
78	3606	42042
79	3711	42687
80	3761	42677
81	3805	42599
82	3843	42466
83	3880	42314
84	3928	42291
85	3994	42447
86	4051	42518
87	4117	42671
88	4160	42584
89	4197	42440
90	4236	42319
91	4273	42180
92	4312	42059
93	4354	41969
94	4394	41864
95	4431	41734
96	4470	41616
97	4510	41514
98	4547	41390
99	4585	41273
100	4624	41159
101	4661	41041
102	4703	40962
103	4757	40989
104	4807	40980
105	4855	40948
106	4904	40935
107	4961	40981
108	5006	40922
109	5051	40874
110	5105	40889
111	5154	40870
112	5203	40845
113	5251	40814
114	5310	40867
115	5377	40979
116	5422	40927
117	5467	40866
118	5511	40804
119	5557	40751
120	5603	40704
121	5643	40616
122	5687	40553
123	5732	40495
124	5781	40472
125	5827	40422
126	5871	40359
127	5911	40274
128	5949	40168
129	5989	40081
130	6028	39989
131	6069	39912
132	6108	39818
133	6148	39736
134	6206	39770
135	6247	39690
136	6284	39588
137	6323	39499
138	6364	39420
139	6403	39336
140	6439	39229
141	6478	39144
142	6539	39192
143	6605	39266
144	6673	39352
145	6727	39353
146	6785	39377
147	6845	39405
148	6892	39364
149	6935	39301
150	6974	39216
151	7019	39160
152	7059	39079
153	7098	38995
154	7140	38925
155	7182	38860
156	7221	38772
157	7260	38691
158	7298	38604
159	7341	38543
160	7382	38470
161	7444	38507
162	7486	38440
163	7525	38359
164	7563	38275
165	7601	38192
166	7643	38125
167	7682	38047
168	7724	37980
169	7765	37915
170	7804	37836
171	7843	37760
172	7885	37693
173	7922	37609
174	7971	37580
175	8013	37519
176	8055	37454
177	8094	37379
178	8148	37372
179	8219	37444
180	8310	37603
181	8389	37705
182	8479	37856
183	8698	38575
184	8775	38660
185	8873	38835
186	9015	39194
