iter	RMSE
0	9.846629456
1	8.062489418
2	6.602627141
3	5.407295166
4	4.429461846
5	3.629271422
6	2.975450147
7	2.440234222
8	2.001986684
9	1.643903336
10	1.351388323
11	1.112732943
12	0.9190468253
13	0.763251243
14	0.6354267542
15	0.5320133957
16	0.4481734996
17	0.3827983006
18	0.3298028424
19	0.2868963153
20	0.2543363754
21	0.2293851158
22	0.2100477444
23	0.195945271
24	0.1843527071
25	0.1734553541
26	0.1665694817
27	0.1600259613
28	0.155898924
29	0.1506434846
30	0.1479175749
31	0.1452985906
32	0.1418274329
33	0.1387168217
34	0.1368451554
35	0.1350865863
36	0.1327338682
37	0.1306116642
38	0.1288979981
39	0.1269374944
40	0.1246599755
41	0.123033883
42	0.1218518709
43	0.1197312181
44	0.1186188073
45	0.116738723
46	0.1158604428
47	0.1148457128
48	0.11373006
49	0.1128561201
50	0.1121494115
51	0.1102687868
52	0.1093516188
53	0.1085253606
54	0.1070289984
55	0.105983948
56	0.1052316777
57	0.1043336508
58	0.1035361195
59	0.1024595355
60	0.1012666379
61	0.100132033
62	0.09946130489
63	0.09880008877
64	0.0982384907
65	0.09746908156
66	0.09710758376
67	0.09635888755
68	0.09531245622
69	0.09453134737
70	0.09390186053
71	0.09333812508
72	0.092833039
73	0.09190646097
74	0.09121696914
75	0.09058229579
76	0.08985631425
77	0.08945718749
78	0.08930183879
79	0.08798504503
80	0.08765982544
81	0.08735042454
82	0.08678123907
83	0.08638176341
84	0.08583432268
85	0.08506013287
86	0.08466288052
87	0.08391458624
88	0.08325490911
89	0.08284591108
90	0.08183529939
91	0.08146556126
92	0.08097044938
93	0.08078222409
94	0.08036493406
95	0.08009664507
96	0.07966079812
97	0.07908412885
98	0.07882906794
99	0.07860698285
100	0.07829859872
101	0.07795772631
102	0.07756759032
103	0.07749125565
104	0.07716551377
105	0.07668999544
106	0.07656428552
107	0.07611160271
108	0.07558927607
109	0.07526672011
110	0.07501648629
111	0.07457604567
112	0.07441508848
113	0.07387507424
114	0.0737360681
115	0.07350852247
116	0.07297070098
117	0.07242927483
118	0.07220652736
119	0.0718933477
120	0.07157061779
121	0.07136393587
122	0.07104403411
123	0.07076546828
124	0.07054161764
125	0.07030745647
126	0.06985100368
127	0.06944158129
128	0.06912940414
129	0.06891692903
130	0.06822154054
131	0.06806499553
132	0.06758044735
133	0.06735867445
134	0.06715328253
135	0.06662633615
136	0.06618468101
137	0.06578923149
138	0.06557222453
139	0.06531665318
140	0.06503845507
141	0.06477579895
142	0.06444362784
143	0.06408230715
144	0.06406739413
145	0.06373505187
146	0.06353839047
147	0.06342416076
148	0.06310973138
149	0.06286165238
150	0.06245107847
151	0.06215277104
152	0.06196264242
153	0.06154950698
154	0.06126054909
155	0.06080509478
156	0.06078193669
157	0.06059043821
158	0.06054518286
159	0.05993891047
160	0.05973560115
161	0.05946472674
162	0.05914211567
163	0.05870238413
164	0.05855679105
165	0.05817753259
166	0.0579798369
167	0.05785090654
168	0.05767464181
169	0.05765174302
170	0.05725725553
171	0.05707990824
172	0.05666027336
173	0.05655320221
174	0.05647376558
175	0.05592271882
176	0.05564776119
177	0.05550888149
178	0.05538027128
179	0.05496803714
180	0.05482147827
181	0.05472047146
182	0.05465461039
183	0.05427832994
184	0.05416479302
185	0.05389999082
186	0.05376917286
